Name	Year Start	Year End	Universe	Abbreviation	Format	Episodes	Runtime	Director	Studio	Status	Type
Mobile Suit Gundam: The Origin	2015	2018	UC	Origin	OVA	6	60 min	Yoshikazu Yasuhiko	Sunrise	Completed	Side Story
Gundam Build Divers	2018	2018	Build Divers (AU)	GBD	TV	25	24 min	Shinya Watada	Sunrise	Completed	Build Series
Mobile Suit Gundam Narrative	2018	2018	UC	NT	Movie	1	90 min	Yoshizumi Toshikazu	Sunrise	Completed	Side Story
Gundam Build Divers Re:RISE	2019	2020	Build Divers (AU)	GBDR	TV	26	24 min	Shinya Watada	Sunrise	Completed	Build Series
Mobile Suit Gundam: Hathaway	2021	Ongoing	UC	Hathaway	Movie	1	95 min	Shukou Murase	Sunrise	Ongoing	Side Story
Mobile Suit Gundam: Cucuruz Doan's Island	2022	2022	UC	Doan's Island	Movie	1	110 min	Yoshikazu Yasuhiko	Sunrise	Completed	Side Story
Mobile Suit Gundam: The Witch from Mercury	2022	2023	Ad Stella (AU)	WfM	TV	24	24 min	Hiroshi Kobayashi	Sunrise	Completed	Main Series
Gundam SEED FREEDOM	2024	2024	Cosmic Era (AU)	SEED Freedom	Movie	1	120 min	Mitsuo Fukuda	Sunrise	Announced	Side Story
Mobile Suit Gundam Requiem for Vengeance	2024	2024	UC	RFV	OVA	6	30 min	Erasmus Brosdau	Sunrise	Announced	Side Story
Mobile Suit Gundam: The 08th MS Team	1996	1999	UC	08th MS Team	OVA	12	30 min	Takeyuki Kanda	Sunrise	Completed	Side Story
Mobile Suit Gundam MS IGLOO	2004	2009	UC	MS IGLOO	OVA	9	30 min	Takashi Imanishi	Sunrise	Completed	Side Story
Mobile Suit Gundam 00: A Wakening of the Trailblazer	2010	2010	Anno Domini (AU)	00 Movie	Movie	1	120 min	Seiji Mizushima	Sunrise	Completed	Side Story
Mobile Suit Gundam Unicorn RE:0096	2016	2016	UC	Unicorn RE:0096	TV	22	24 min	Kazuhiro Furuhashi	Sunrise	Completed	Compilation
Mobile Suit Gundam: Twilight Axis	2017	2017	UC	Twilight Axis	OVA	6	10 min	Seiji Mizushima	Sunrise	Completed	Side Story
Mobile Suit Gundam: The Origin - Advent of the Red Comet	2019	2019	UC	Origin Red Comet	TV	13	24 min	Yoshikazu Yasuhiko	Sunrise	Completed	Compilation
Mobile Suit Gundam: The Witch from Mercury - Prologue	2022	2022	Ad Stella (AU)	WfM Prologue	Special	1	24 min	Hiroshi Kobayashi	Sunrise	Completed	Prologue
Mobile Suit Gundam: The Witch from Mercury - Special Edition	2023	2023	Ad Stella (AU)	WfM Special	Special	1	90 min	Hiroshi Kobayashi	Sunrise	Completed	Compilation
